year,district,constituency,link
1952,BANKURA,BISHNUPUR,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BANKURA/BISHNUPUR/1952---BISHNUPUR-(2173)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BANKURA/BISHNUPUR/1952---BISHNUPUR-(2173)-PART-2.pdf"
1952,BANKURA,SONAMUKHI,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BANKURA/SONAMUKHI/1952---SONAMUKHI-(2116)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BANKURA/SONAMUKHI/1952---SONAMUKHI-(2116)-PART-2.pdf"
1952,BIRBHUM,BIRBHUM,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BIRBHUM/BIRBHUM/1952---(842).pdf
1952,BIRBHUM,BOLPORE,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BIRBHUM/BOLPORE/1952---BOLPORE-(2345)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BIRBHUM/BOLPORE/1952---BOLPORE-(2345)-PART-2.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BIRBHUM/BOLPORE/1952---BOLPORE-(2345)-PART-3.pdf"
1952,BIRBHUM,DUBRAJPUR THANA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BIRBHUM/DUBRAJPUR%20THANA/1952---DUBRAJPUR%20THANA(1300)-(887).pdf
1952,BIRBHUM,FARAKKA SAMSERGANJ THANA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BIRBHUM/FARAKKA%20SAMSERGANJ%20THANA/1952---FARAKKA%20SAMSERGANJ%20THANA-(1270).pdf
1952,BIRBHUM,ILAMBAZAR THANA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BIRBHUM/ILAMBAZAR%20THANA/1952---ILAMBAZAR%20THANA-1200-(594).pdf
1952,BIRBHUM,KALIACHALK THANA,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BIRBHUM/KALIACHALK%20THANA/1952---KALIACHALK%20THANA-(%201426)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BIRBHUM/KALIACHALK%20THANA/1952---KALIACHALK%20THANA-(%201426)-PART-2.pdf"
1952,BIRBHUM,KHAYRASOL,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BIRBHUM/KHAYRASOL/1952---KHAYRASOL-(1066).pdf
1952,BIRBHUM,KHAYRASOL THANA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BIRBHUM/KHAYRASOL%20THANA/1952---KHAYRASOL%20THANA-1400-(667).pdf
1952,BIRBHUM,MURARI THANA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BIRBHUM/MURARI%20THANA/1952---MURARI%20THANA-(914).pdf
1952,BIRBHUM,NALHATI THANA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BIRBHUM/NALHATI%20THANA/1952---NALHATI%20THANA-(974).pdf
1952,BIRBHUM,NANUR PT ONE,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BIRBHUM/NANUR%20PT%20ONE/1952---NANUR%20PT-1-(795).pdf
1952,BIRBHUM,NANUR PT THREE,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BIRBHUM/NANUR%20PT%20THREE/1952---NANUR%20PT-3-(471).pdf
1952,BIRBHUM,NANUR PT TWO,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BIRBHUM/NANUR%20PT%20TWO/1952---NANUR%20PT-2-(729).pdf
1952,BIRBHUM,RAJNAGAR THANA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BIRBHUM/RAJNAGAR%20THANA/1952---RAJNAGAR%20THANA-1500-(386).pdf
1952,BIRBHUM,RAMPURHAT THANA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BIRBHUM/RAMPURHAT%20THANA/1952---RAMPURHAT%20THANA-(1239).pdf
1952,BIRBHUM,SAITHIA THANA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BIRBHUM/SAITHIA%20THANA/1952---SAITHIA%20THANA%20PT-9-(907).pdf
1952,BIRBHUM,SURI THANA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BIRBHUM/SURI%20THANA/1952---SURI%20THANA-1100-(1025).pdf
1952,BIRBHUM,SURI THANA PT FOUR,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BIRBHUM/SURI%20THANA%20PT%20FOUR/1952---SURI%20THANA%20PT-4-(12).pdf
1952,BIRBHUM,SURI THANA PT ONE,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BIRBHUM/SURI%20THANA%20PT%20ONE/1952---SURI%20THANA%20PT-1%20-(787).pdf
1952,BIRBHUM,SURI THANA PT THREE,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BIRBHUM/SURI%20THANA%20PT%20THREE/1952---SURI%20THANA%20PT-3%20-(599).pdf
1952,BIRBHUM,SURI THANA PT TWO,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BIRBHUM/SURI%20THANA%20PT%20TWO/1952---SURI%20THANA%20PT-2%20-(887).pdf
1952,BURDWAN,AUSGRAM,"https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/BURDWAN/AUSGRAM/1952---AUSGRAM-(2122)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/BURDWAN/AUSGRAM/1952---AUSGRAM-(2122)-PART-2.pdf"
1952,BURDWAN,BURDWAN PARLIAMENTARY CONSTITUENCY,"https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/BURDWAN/BURDWAN%20PARLIAMENTARY%20CONSTITUENCY/1952---BURDWAN%20PARLIAMENTARY%20CONSTITUENCY-(2961)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/BURDWAN/BURDWAN%20PARLIAMENTARY%20CONSTITUENCY/1952---BURDWAN%20PARLIAMENTARY%20CONSTITUENCY-(2961)-PART-2.pdf, https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/BURDWAN/BURDWAN%20PARLIAMENTARY%20CONSTITUENCY/1952---BURDWAN%20PARLIAMENTARY%20CONSTITUENCY-(2961)-PART-3.pdf, https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/BURDWAN/BURDWAN%20PARLIAMENTARY%20CONSTITUENCY/1952---BURDWAN%20PARLIAMENTARY%20CONSTITUENCY-(2961)-PART-4.pdf"
1952,BURDWAN,GALSI,"https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/BURDWAN/GALSI/1952---BURDWAN-galsi-(870)-Part-1.pdf, https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/BURDWAN/GALSI/1952---BURDWAN-galsi-(870)-Part-2.pdf"
1952,BURDWAN,KALNA,"https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/BURDWAN/KALNA/1952---KALNA-(2355)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/BURDWAN/KALNA/1952---KALNA-(2355)-PART-2.pdf, https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/BURDWAN/KALNA/1952---KALNA-(2355)-PART-3.pdf"
1952,BURDWAN,KHANDAGHOSH,https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/BURDWAN/KHANDAGHOSH/1952---KHANDAGHOSH-(1014).pdf
1952,BURDWAN,KULTI ONE,"https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/BURDWAN/KULTI%20ONE/1952---KULTI%20-1-(1456)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/BURDWAN/KULTI%20ONE/1952---KULTI%20-1-(1456)-PART-2.pdf"
1952,BURDWAN,KULTI TWO,"https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/BURDWAN/KULTI%20TWO/1952---KULTI%202-(2195)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/BURDWAN/KULTI%20TWO/1952---KULTI%202-(2195)-PART-2.pdf"
1952,BURDWAN,RAINA,"https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/BURDWAN/RAINA/1952---RAINA-(1944)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/BURDWAN/RAINA/1952---RAINA-(1944)-PART-2.pdf"
1952,BURDWAN,RANIGANJ,"https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/BURDWAN/RANIGANJ/1952---RANIGANJ-(1480)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/BURDWAN/RANIGANJ/1952---RANIGANJ-(1480)-PART-2.pdf"
1952,CALCUTTA,ALIPORE,"https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/CALCUTTA/ALIPORE/1952--186-ALIPORE-(1088)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/CALCUTTA/ALIPORE/1952--186-ALIPORE-(1088)-PART-2.pdf"
1952,CALCUTTA,BARABAZAR,https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/CALCUTTA/BARABAZAR/1952--173-BARABAZAR%20A.C%20--(1153).pdf
1952,CALCUTTA,BELEGHATA,https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/CALCUTTA/BELEGHATA/1952--172-BELEGHATA.C-(881).pdf
1952,CALCUTTA,BELGACHIA,https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/CALCUTTA/BELGACHIA/1952--170-BELGACHIA-%20(926).pdf
1952,CALCUTTA,BENIAPUKUR BALLYGUNGE,"https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/CALCUTTA/BENIAPUKUR%20BALLYGUNGE/1952--178-BENIAPUKUR%20BALLYGUNGE%20A.C-(2054)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/CALCUTTA/BENIAPUKUR%20BALLYGUNGE/1952--178-BENIAPUKUR%20BALLYGUNGE%20A.C-(2054)-PART-2.pdf"
1952,CALCUTTA,BHOWANIPUR,https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/CALCUTTA/BHOWANIPUR/1952--179-BHOWANIPUR%20A.C-(900).pdf
1952,CALCUTTA,BOWBAZAR,"https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/CALCUTTA/BOWBAZAR/1952--186-BOWBAZAR%20A.C-(1768)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/CALCUTTA/BOWBAZAR/1952--186-BOWBAZAR%20A.C-(1768)-PART-2.pdf"
1952,CALCUTTA,BURTOLA,https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/CALCUTTA/BURTOLA/1952--BURTOLA-(1013).pdf
1952,CALCUTTA,COSSIPORE,https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/CALCUTTA/COSSIPORE/1952--COSSIPORE%20A.C-(1108).pdf
1952,CALCUTTA,ENTALLY,https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/CALCUTTA/ENTALLY/1952--187-ENTALLY-(998).pdf
