year,district,constituency,link,new_links
1966,BANKURA,BANKURA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BANKURA/BANKURA/1966---238-BANKURA%20%20A.C(BANKURA)-(721).pdf,https://drive.google.com/file/d/1llgYO5bQ19YScbVlgeqWMKTWHLSsIHiA/view?usp=sharing
1966,BANKURA,BARJORA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BANKURA/BARJORA/1966---237-BARJORA%20A.C(BANKURA)-(1071).pdf,https://drive.google.com/file/d/1tyY8snDSc1ZWnMKazMw4UzQTQTqPbyNr/view?usp=sharing
1966,BANKURA,CHHATNA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BANKURA/CHHATNA/1966---235-CHHATNA%20A.C(BANKURA)-(1088).pdf,https://drive.google.com/file/d/1p3EDgZ9QuZ9UWWyCeNJCtVpR1-eiqsd8/view?usp=sharing
1966,BANKURA,GANGAJALGHATI,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BANKURA/GANGAJALGHATI/1966---236-GANGAJALGHATI%20A.C(BANKURA)-(1062).pdf,https://drive.google.com/file/d/1b_cZ-X0JFBd9-Wy1pMbfrN6754H5RcDL/view?usp=sharing
1966,BANKURA,INDAS,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BANKURA/INDAS/1966---242-INDAS%20A.C(BANKURA)-(1253)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BANKURA/INDAS/1966---242-INDAS%20A.C(BANKURA)-(1253)-PART-2.pdf","https://drive.google.com/file/d/1r9Mf-sXUe2GLJLtnfhzw-1RndcmI4sbw/view?usp=sharing, https://drive.google.com/file/d/1cZL7ZnGissDxihq1pI2zOyuOksYD-Le0/view?usp=sharing"
1966,BANKURA,INDPUR,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BANKURA/INDPUR/1966---234-INDPUR%20A.C%20(BANKURA)-(1104).pdf,https://drive.google.com/file/d/1oLQ9--eZdnDtPkgafM4FZ9UJc7jJ5yqe/view?usp=sharing
1966,BANKURA,KOTULPUR,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BANKURA/KOTULPUR/1966---241-KOTULPUR%20A.C(BANKURA)-(1317).pdf,https://drive.google.com/file/d/1uomDpmPodfNcgWhRsyNWiQ_FiS5OkIIK/view?usp=sharing
1966,BANKURA,ONDA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BANKURA/ONDA/1966---239-ONDA%20A.C(BANKURA)-(1115).pdf,https://drive.google.com/file/d/1uS3fz_pudFq_m1e_ONY2FpnNaVLZxiWp/view?usp=sharing
1966,BANKURA,RAIPUR,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BANKURA/RAIPUR/1966---232-RAIPUR%20A.C(BANKURA)-(1197).pdf,https://drive.google.com/file/d/1u1o_EzeatmPQAPOSpY3we7Pf2n1TCurq/view?usp=sharing
1966,BANKURA,RANIBANDH,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BANKURA/RANIBANDH/1966---233-RANIBANDH%20A.C-1%20(BANKURA)-(1115).pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BANKURA/RANIBANDH/1966---233-RANIBANDH%20A.C-2%20(BANKURA)-(1034).pdf","https://drive.google.com/file/d/108vR9Y9MxUbZuncXqCTtB9GVS6MFvVlG/view?usp=sharing, https://drive.google.com/file/d/19tgLLCOWs53Fr97Dx-tb7BAdvgVPN1Tm/view?usp=sharing"
1966,BANKURA,SONAMUKHI,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BANKURA/SONAMUKHI/1966---243-SONAMUKHI%20A.C%20(BANKURA)%20-%20(1198).pdf,https://drive.google.com/file/d/1id9jS1wK1oOA-_AjXUmDQRGOpwNnyrdt/view?usp=sharing
1966,BANKURA,TALDANGRA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BANKURA/TALDANGRA/1966---231-TALDANGRA%20A.C(BANKURA)-(1046).pdf,https://drive.google.com/file/d/112gw4GIxZW-zxbH0n17zSSMqojO4pdv6/view?usp=sharing
1966,BANKURA,VISHNUPUR,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BANKURA/VISHNUPUR/1966---240-VISHNUPUR%20A.C(BANKURA)-(1148).pdf,https://drive.google.com/file/d/1gZNegSmlWxqFtJI5trCurEHMC8gbBoh5/view?usp=sharing
1966,BIRBHUM,BOLPUR,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BIRBHUM/BOLPUR/1966---270-BOLPUR%20A.C(BIRBHUM)-(1046).pdf,https://drive.google.com/file/d/1gTA8ANaU36jPGnIOYZY8AarHr_2FV9Ag/view?usp=sharing
1966,BIRBHUM,DUBRAJPUR,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BIRBHUM/DUBRAJPUR/1966---272--DUBRAJPUR%20%20%20A%20C(BIRBHUM)-(1370)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BIRBHUM/DUBRAJPUR/1966---272--DUBRAJPUR%20%20%20A%20C(BIRBHUM)-(1370)-PART-2.pdf","https://drive.google.com/file/d/1e3MRlQM4BRj5fceOmnxR46LhFOoVNIUs/view?usp=sharing, https://drive.google.com/file/d/1zy88--Gw6D6Yry445EcOINYW_dxEiZDX/view?usp=sharing"
1966,BIRBHUM,HANSAN,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BIRBHUM/HANSAN/1966---278-HANSAN%20A.C(BIRBHUM)-(902).pdf,https://drive.google.com/file/d/1-Bs3j3KYxTI_zYwetBA767GQHG48ZH6A/view?usp=sharing
1966,BIRBHUM,LABPUR,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BIRBHUM/LABPUR/1966---271-LABPUR%20A.C(BIRBHUM)-(1009).pdf,https://drive.google.com/file/d/11nOQas02h7H1sfl8UljXWaqdABEV0taz/view?usp=sharing
1966,BIRBHUM,MAHAMMAD BAZAR,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BIRBHUM/MAHAMMAD%20BAZAR/1966---275-MAHAMMAD%20BAZAR%20A.C(BIRBHUM)-(1078).pdf,https://drive.google.com/file/d/1OWyMQtL818qO-Xrps7Pj_MINHn-HxhAB/view?usp=sharing
1966,BIRBHUM,MAYURESWAR,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BIRBHUM/MAYURESWAR/1966---276-MAYURESWAR%20A.C(BIRBHUM)-(954).pdf,https://drive.google.com/file/d/15jdirYfyaFMS6YJ9NixOQ2OqQuE4P3He/view?usp=sharing
1966,BIRBHUM,MURARAI,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BIRBHUM/MURARAI/1966---280-MURARAI%20A.C(BIRBHUM)-(854).pdf,https://drive.google.com/file/d/1oYuG4vUtmIwEO1oLZiRUkBeQfiHz424_/view?usp=sharing
1966,BIRBHUM,NALHATI,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BIRBHUM/NALHATI/1966---279-NALHATI%20A.C(BIRBHUM)-(824).pdf,https://drive.google.com/file/d/188PO6HiH_kDD6GsTLhDD8ZFCzF3zZsxV/view?usp=sharing
1966,BIRBHUM,NANUR,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BIRBHUM/NANUR/1966---269-NANUR%20%20(S.C)%20A.C(BIRBHUM)-(1182).pdf,https://drive.google.com/file/d/1Arf8OWhSbMdiCcZGAue8oxjG8WloTJxY/view?usp=sharing
1966,BIRBHUM,RAJNAGAR,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BIRBHUM/RAJNAGAR/1966---273-RAJNAGAR%20%20(S.C)%20A.C(BIRBHUM)-(1503)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BIRBHUM/RAJNAGAR/1966---273-RAJNAGAR%20%20(S.C)%20A.C(BIRBHUM)-(1503)-PART-2.pdf","https://drive.google.com/file/d/15mA9jQJN0Dy1weprqrriJilZA-3LZq5B/view?usp=sharing, https://drive.google.com/file/d/1EHwqnWVLQi-txw4wTbvMcj4O7tFPgj6k/view?usp=sharing"
